SF2SA1DB,HHTYPC,STHHTYC,HHADULEC,NUMKHHEC,RAECURF,INCDECEP,INCDECE,ABSGID,ABSCID,ABSUID,ABSBID,ABSSID,ABSFID,ABSDID,ABSEID,ABSKID,ABSTID,INCSRCHA,INCSRCHB,INCSRCHC,INCSRCHD,INCSRCHE,HSRCCDE,WINDGHH,FDSECQ1,FDSECQ2,LEVEL1,HHC0T14,HH15OV,NUMPERHH,NOATSIHH,ATSI0T14,ATSI18OV,ATSI0T17,ATSI15OV,ABSHID,ABSLFID
3,1,5,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,5,0,1,0,1,1,1,0,1,0,1,INP13B1000094,0
1,2,1,2,0,1,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,1,0,2,2,2,0,2,0,2,INP13B1000095,0
1,1,5,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,1,5,0,1,0,1,1,1,0,1,0,1,INP13B1000096,0
1,6,1,3,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,1,5,1,1,4,5,5,1,3,2,4,INP13B1000097,0
1,4,1,2,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,5,0,1,0,2,2,2,0,2,0,2,INP13B1000098,0
1,1,5,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,1,5,0,1,0,1,1,1,0,1,0,1,INP13B1000099,0
3,3,1,2,2,2,99,99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,5,0,1,2,2,4,3,2,1,2,1,INP13B1000100,0
2,6,2,3,2,1,99,99,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,5,0,1,2,3,5,1,1,0,1,0,INP13B1000101,0
4,3,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,5,0,1,1,3,4,3,1,1,2,2,INP13B1000102,0
1,4,1,1,1,1,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,8,0,1,1,1,2,2,1,1,1,1,INP13B1000103,0
1,4,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,5,0,1,1,1,2,2,1,1,1,1,INP13B1000104,0
1,3,1,2,3,1,6,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,5,0,1,3,2,5,4,3,1,3,1,INP13B1000105,0
2,3,1,2,2,1,7,6,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,5,0,1,2,2,4,1,1,0,1,0,INP13B1000106,0
1,3,1,2,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,1,5,1,3,2,5,5,3,2,3,2,INP13B1000107,0
1,6,1,2,3,2,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,5,0,1,2,3,5,3,2,0,3,1,INP13B1000108,0
1,1,5,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,1,1,1,0,1,1,1,0,1,0,1,INP13B1000109,0
1,6,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,5,0,1,2,2,4,4,2,2,2,2,INP13B1000110,0
3,3,1,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,5,0,1,2,2,4,3,2,1,2,1,INP13B1000111,0
1,6,2,6,4,2,99,99,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,1,1,5,0,1,4,6,10,10,4,6,4,6,INP13B1000112,0
1,4,1,1,1,1,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,8,0,1,1,1,2,2,1,1,1,1,INP13B1000113,0
1,6,1,3,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,5,0,1,0,3,3,1,0,1,0,1,INP13B1000114,0
1,4,1,1,1,1,3,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,5,0,1,1,1,2,1,1,0,1,0,INP13B1000115,0
1,6,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,1,5,1,2,2,4,4,2,2,2,2,INP13B1000116,0
2,1,5,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,5,0,1,0,1,1,1,0,1,0,1,INP13B1000117,0
1,1,5,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,5,1,0,1,1,1,0,1,0,1,INP13B1000118,0
3,4,1,2,0,2,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,1,1,1,0,2,2,2,0,2,0,2,INP13B1000119,0
1,1,5,1,0,2,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,1,5,1,0,1,1,1,0,1,0,1,INP13B1000120,0
1,4,1,2,0,2,99,99,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,1,1,5,1,0,2,2,2,0,2,0,2,INP13B1000121,0
1,4,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,5,1,2,1,3,3,2,1,2,1,INP13B1000122,0
2,1,5,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,5,0,1,0,1,1,1,0,1,0,1,INP13B1000123,0
2,6,2,4,3,1,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,8,0,1,3,4,7,6,3,3,3,3,INP13B1000124,0
1,6,2,3,6,2,5,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,1,5,0,1,6,3,9,9,6,3,6,3,INP13B1000125,0
2,2,1,2,0,1,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,1,0,2,2,1,0,1,0,1,INP13B1000126,0
1,6,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,5,0,1,1,1,2,2,1,1,1,1,INP13B1000127,0
4,2,1,2,0,1,8,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,1,0,2,2,1,0,1,0,1,INP13B1000128,0
1,1,5,1,0,1,4,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,1,0,1,1,1,0,1,0,1,INP13B1000129,0
1,2,1,2,0,1,4,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,5,0,1,0,2,2,1,0,1,0,1,INP13B1000130,0
1,4,1,1,4,1,99,99,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,5,0,1,3,2,5,5,3,1,4,2,INP13B1000131,0
3,2,1,2,0,2,9,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,5,0,1,0,2,2,1,0,1,0,1,INP13B1000132,0
1,6,2,3,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,5,0,1,2,3,5,5,2,3,2,3,INP13B1000133,0
1,3,1,4,0,1,5,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,5,0,1,0,4,4,3,0,3,0,3,INP13B1000134,0
2,2,1,2,0,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,5,0,1,0,2,2,1,0,1,0,1,INP13B1000135,0
1,6,1,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,5,0,1,2,2,4,2,2,0,2,0,INP13B1000136,0
1,6,2,3,4,2,7,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,1,5,0,1,3,4,7,7,3,3,4,4,INP13B1000137,0
2,1,5,1,0,2,99,99,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,5,0,1,0,1,1,1,0,1,0,1,INP13B1000138,0
1,4,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,1,5,0,1,0,2,2,2,0,1,1,2,INP13B1000139,0
1,6,4,5,0,2,5,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,1,5,0,1,0,5,5,5,0,5,0,5,INP13B1000140,0
2,5,6,3,0,1,99,99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,1,0,3,3,1,0,1,0,1,INP13B1000141,0
1,6,1,2,3,2,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,5,0,1,3,2,5,5,3,2,3,2,INP13B1000142,0
3,3,1,2,2,1,3,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,5,0,1,2,2,4,3,2,1,2,1,INP13B1000143,0
1,2,1,2,0,1,4,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,5,0,1,0,2,2,1,0,1,0,1,INP13B1000144,0
1,1,5,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,5,0,1,0,1,1,1,0,1,0,1,INP13B1000145,0
1,6,2,4,2,2,3,1,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,1,1,5,0,1,2,4,6,6,2,4,2,4,INP13B1000146,0
1,3,1,2,8,1,5,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,5,0,1,8,2,10,10,8,2,8,2,INP13B1000147,0
1,6,4,2,4,2,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,2,1,1,1,4,2,6,5,4,1,4,1,INP13B1000148,0
2,6,2,3,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,5,0,1,1,3,4,4,1,3,1,3,INP13B1000149,0
1,6,2,4,0,1,10,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,1,0,4,4,1,0,1,0,1,INP13B1000150,0
1,1,5,1,0,2,4,6,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,1,5,0,1,0,1,1,1,0,1,0,1,INP13B1000151,0
2,6,1,2,1,1,6,6,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,5,0,1,1,2,3,3,1,2,1,2,INP13B1000152,0
1,1,5,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,5,0,1,0,1,1,1,0,1,0,1,INP13B1000153,0
1,3,1,2,2,2,4,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,1,1,1,1,2,2,4,4,2,2,2,2,INP13B1000154,0
